id	GSM3374358_NR	GSM3374379_NR	GSM1103629_NR	GSM3374398_NR	GSM868583_NR	GSM3374411_NR	GSM3374355_NR	GSM1103627_NR	GSM3374388_NR	GSM1103655_NR	GSM868587_NR	GSM1103631_NR	GSM868550_NR	GSM1103660_NR	GSM1103632_NR	GSM1103654_NR	GSM868552_NR	GSM1103648_NR	GSM3374394_NR	GSM3374372_NR	GSM1103662_NR	GSM3374404_NR	GSM1103641_NR	GSM1103663_NR	GSM868576_NR	GSM868589_R	GSM868562_R	GSM1103642_R	GSM868556_R	GSM3374415_R	GSM868581_R	GSM3374352_R	GSM1103628_R	GSM868558_R	GSM3374412_R	GSM1103637_R	GSM1103638_R	GSM868593_R	GSM868592_R	GSM1103625_R	GSM868559_R	GSM1103656_R
CELF2	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1
TAP1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	1	1	1	1
IFI27	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1
IRF1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1
ITGB2	1	0	1	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1
GAA	1	0	0	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1
C1QB	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1
MPP1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1
CSF1R	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	1
IFIT1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1
PLEK	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1
TNFRSF1B	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	1	1	1
ADIRF	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0
IFIT5	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1
GSTT1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1
IGFBP6	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1
IRF9	1	0	0	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1
CXCL9	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1
CYBB	0	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1
HLA-DMB	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1
IRF8	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1
RARRES3	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1
TPST2	0	1	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0
CCL4	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1
TYROBP	0	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1
RUNX3	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0
FCER1G	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1
PSMB9	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1
IFI6	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1
SLC2A5	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0
IFI44L	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1
ELMO1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1
CXCL10	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1
CDK14	1	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1
FAS	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0
TYMP	1	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1
ARHGAP25	0	0	1	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	0
IL10RA	1	0	1	0	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1
SASH3	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1
PTPRCAP	1	0	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1
OAS2	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	1	1	1	1
MX2	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1
PSPH	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1
CCR1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0	1	1
LCP2	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1
IL2RB	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1
SERPINI1	0	0	1	1	0	1	1	0	1	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	0
ISG15	1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1
LAMP3	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0
FMO1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	1	1	1
CD38	0	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0
CD8A	0	0	1	0	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	1
KLRC4-KLRK1	1	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1
CD84	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1
TFEC	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1
CHST7	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	0	0	1	0	0	0	1	1	0
CRYBB2	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1
CCR2	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1
CCR5	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	1	1
ISLR	1	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1
TNFSF8	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	1	1	1	1
HCK	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1
DGCR6	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0
HLA-DRB1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1
IRF7	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1
CR1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1
HLA-DRA	0	0	0	1	0	0	1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1
HLA-DQB1	0	0	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	1	1	1	1
RGL1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1
CD200	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0
CD74	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1
CD69	0	0	0	0	0	1	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1
CASP1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1
IDO1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	1
CCL11	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1
LILRB4	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1
GZMB	0	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0
OASL	1	1	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	0	1	0	0
CXCL11	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	1	1
FYB	1	0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	1	1
MSR1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1
IGFBP5	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1
PTPRC	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	1	1
HLA-DQA1	0	0	1	1	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1
GM2A	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	1	0
SLC1A4	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	1
TRIM22	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0
MYO1F	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1
NKG7	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1
IFITM1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1
CCL8	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	1	1	1
GPR161	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0
IFI44	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	1	1	1
GPR65	0	0	1	0	0	1	1	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1
FCGR1B	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1
PRF1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	1
UAP1L1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1
ZNF423	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1
CD163	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1
AIF1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1
FCGR1A	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1
HLA-DRB6	0	1	1	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1
HIRA	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0
HLA-DMA	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1
C1QA	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1
OAS3	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1
SNX10	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1
PARP12	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1
CECR5	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0
DDX60	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1
PID1	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	1
USP18	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	1
HERC6	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	1
SLAMF8	1	0	1	1	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1
CECR1	1	0	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0
PLA1A	1	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	1	1	0
SLC15A3	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	1	1
APOL6	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0
GIMAP6	1	0	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0
HERC5	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	0
PSTPIP2	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0
SAMSN1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1
STXBP6	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0
APOL3	1	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1
PILRA	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1
PARP9	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1
CXCL16	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1
TNFSF13B	0	0	1	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1
DOK3	1	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1
HCST	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1
